*Beijing Dialect*
Wav0172|粤语|"屋企先會食披薩做晚餐"|"家里才会吃披萨当晚餐"|区别：粤语“屋企先會”（uk1 kei5 sin1 wui5）使用“先會”强调条件性，而普通话“才会”（cái huì）较不强烈且更直接。
Wav0173|Cantonese Dialect|"因為爸爸唔鍾意食"|"因为爸爸不喜欢吃"|区别：粤语“唔鍾意”（m4 zung1 ji3）是表示“不喜欢”的口语表达，而普通话“不喜欢”（bù xǐhuān）更正式且广泛使用。
Wav0174|Cantonese Dialect|"所以當爸爸唔喺屋企先會叫披薩"|"所以当爸爸不在家时才会叫披萨"|区别：粤语“唔喺屋企先會”（m4 hai2 uk1 kei5 sin1 wui5）使用“先會”强调条件性，而普通话“不在家时才会”（bù zài jiā shí cái huì）更中性且不那么强调。
Wav0175|Cantonese Dialect|"係爸爸?"|"是爸爸吗？"|区别：粤语“係”（hai6）是灵活用于疑问句的系词，而普通话“是”（shì）更严格，通常需加疑问助词“吗”（ma）。
Wav0176|Cantonese Dialect|"爸爸返嚟啦!"|"爸爸回来了！"|区别：粤语“啦”（laa1）增添情感强调，而普通话“了”（le）表示动作完成，情感分量较轻。
Wav0177|Cantonese Dialect|"今晚公司嘅聚會取消咗"|"今晚公司的聚会被取消了"|区别：粤语“取消咗”（ceoi2 siu1 zo2）使用“咗”标记过去动作，而普通话“取消了”（qǔxiāo le）使用“了”，但听起来更正式。
Wav0178|Cantonese Dialect|"屋企有冇煮飯呀?"|"家里有没有煮饭啊？"|区别：粤语“有冇”（jau5 mou5）是口语化的是/否疑问结构，而普通话“有没有”（yǒu méiyǒu）更标准且稍显正式。
Wav0179|Cantonese Dialect|"今晚食披薩,你食唔食呀?"|"今晚吃披萨，你吃不吃啊？"|区别：粤语“食唔食呀”（sik6 m4 sik6 aa3）使用“唔”和“呀”营造随意语气，而普通话“吃不吃啊”（chī bù chī a）使用“不”和“啊”，语气类似但区域特色较少。
Wav0180|Cantonese Dialect|"媽媽問完之後,爸爸搖搖頭"|"妈妈问完之后，爸爸摇了摇头"|区别：粤语“問完之後”（man6 jyun4 zi1 hau6）使用“之後”表示“之后”，在口语中常见，而普通话“之后”（zhīhòu）更正式且书面化。
Wav0181|Cantonese Dialect|"雪櫃有冷飯,不如我整炒飯畀你食呀好唔好呀?"|"冰箱有冷饭，不如我做炒饭给你吃，好不好啊？"|区别：粤语“整炒飯畀你食呀好唔好呀”（zing2 caau2 faan6 bei2 nei5 sik6 aa3 hou2 m4 hou2 aa3）使用“畀”和双重助词增添亲切感，而普通话“做炒饭给你吃，好不好啊”更简单且情感较淡。
Wav0182|Cantonese Dialect|"咁呀,你食嘢先啦,我自己煮得啦"|"这样啊，你先吃东西吧，我自己会煮"|区别：粤语“咁呀”（gam2 aa3）和“煮得啦”（zyu2 dak1 laa1）使用助词营造随意语气，而普通话“这样啊”（zhèyàng a）和“会煮”（huì zhǔ）更中性，缺乏同样的口语亲切感。
Wav0183|Cantonese Dialect|"於是爸爸就自己整泡菜炒飯食"|"于是爸爸就自己做泡菜炒饭吃"|区别：粤语“整”（zing2）是“制作”的口语说法，而普通话“做”（zuò）更通用且正式。粤语助词“食”（sik6）强调吃，普通话中无此表达。
Wav0184|Cantonese Dialect|"披薩真係全世界最好味嘅嘢呀!"|"披萨真是全世界最好吃的东西啊！"|区别：粤语“真係”（zan1 hai6）和“最好味”（zeoi3 hou2 mei6）更强调且口语化，而普通话“真是”（zhēnshì）和“最好吃”（zuì hǎochī）标准且不那么强烈。
Wav0185|Cantonese Dialect|"如果可以日日食就好啦!"|"如果可以天天吃就好了！"|区别：粤语“日日”（jat6 jat6）是“每天”的重复口语表达，而普通话“天天”（tiāntiān）更常见且稍显正式。粤语“啦”（laa1）增添情感语气，普通话“了”（le）无此作用。
Wav0186|Cantonese Dialect|"志媛狼吞虎燕,左手一塊披薩"|"志媛狼吞虎咽，左手一块披萨"|区别：粤语“狼吞虎燕”（long4 tan1 fu2 jin3）是生动的成语，而普通话“狼吞虎咽”（láng tūn hǔ yàn）发音相似但在正式场合更常见。
Wav0187|Cantonese Dialect|"右手又一塊披薩猛咁食"|"右手又一块披萨猛地吃"|区别：粤语“猛咁”（maang5 gam2）是口语化的强化词，而普通话“猛地”（měng de）较少使用且更书面化。
Wav0188|Cantonese Dialect|"爸爸喺旁邊食泡菜炒飯,一定心諗"|"爸爸在旁边吃泡菜炒饭，一定在想"|区别：粤语“喺”（hai2）是“在”的口语介词，而普通话“在”（zài）更标准。粤语“心諗”（sam1 nam2）比普通话“在想”（zài xiǎng）更生动。
Wav0189|Cantonese Dialect|"披薩?有咩好食呀?"|"披萨？有什么好吃的啊？"|区别：粤语“有咩”（jau5 me1）是“什么”的随意表达，而普通话“有什么”（yǒu shénme）更正式且结构化。
Wav0190|Cantonese Dialect|"我先唔要日日食披薩呀!"|"我才不要天天吃披萨啊！"|区别：粤语“先唔要”（sin1 m4 jiu3）使用“先”加强语气，而普通话“才不要”（cái bùyào）语气较弱但表达类似否定。
Wav0191|Cantonese Dialect|"第二日朝早"|"第二天早上"|区别：粤语“朝早”（ziu1 zou2）是“早上”的口语说法，而普通话“早上”（zǎoshang）更标准且中性。
Wav0192|Cantonese Dialect|"媽媽,早餐食咩呀?"|"妈妈，早餐吃什么啊？"|"小孩询问早餐内容。|区别：粤语“食咩呀”（sik6 me1 aa3）是随意的疑问结构，而普通话“吃什么啊”（chī shénme a）更直接且正式。
Wav0193|Cantonese Dialect|"麵豉湯同泡菜呀!"|"味噌汤和泡菜啊！"|区别：粤语“麵豉湯”（min6 si6 tong1）是直接音译，而普通话“味噌汤”（wèicēng tāng）是标准化表达。粤语“呀”（aa3）增添亲切感，普通话“啊”（a）无此作用。
Wav0194|Cantonese Dialect|"嗯!我唔鍾意飲麵豉湯呀!"|"嗯！我不喜欢喝味噌汤啊！"|区别：粤语“唔鍾意”（m4 zung1 ji3）比普通话“不喜欢”（bù xǐhuān）更口语化。粤语“飲”（jam2）特指“喝”，普通话“喝”（hē）更通用。
Wav0195|Cantonese Dialect|"可唔可以幫我煎火腿呀?"|"可不可以帮我煎火腿啊？"|区别：粤语“可唔可以”（ho2 m4 ho2 ji5）是口语化的疑问形式，而普通话“可不可以”（kě bù kěyǐ）更正式且结构化。
Wav0196|Cantonese Dialect|"我都要!"|"我也要！"|区别：两种语言表达相似，但粤语“都要”（dou1 jiu3）情感语气更强，而普通话“也要”（yě yào）更中性。
Wav0197|Cantonese Dialect|"志援講完之後,志冠都嘈住話要食火腿"|"志援讲完之后，志冠也吵着说要吃火腿"|区别：粤语“嘈住話”（cou4 zyu6 waa6）生动且口语化，表示“大声说”，而普通话“吵着说”（chǎozhe shuō）较不动态且更正式。
Wav0198|Cantonese Dialect|"志援,唔可以揀飲擇食㗎!"|"志援，不可以挑食！"|区别：粤语“揀飲擇食”（gaan2 jam2 zaak6 sik6）是“挑食”的生动成语，而普通话“挑食”（tiāoshí）更简单且常见。
Wav0199|Cantonese Dialect|"麵豉湯一定要飲呀!"|"味噌汤一定要喝啊！"|区别：粤语“飲”（jam2）特指饮用，普通话“喝”（hē）更通用。粤语“呀”（aa3）增添坚持语气，普通话“啊”（a）无此作用。
Wav0200|Cantonese Dialect|"泡菜都要食!"|"泡菜也要吃！"|区别：粤语“都要食”（dou1 jiu3 sik6）使用“食”表示吃，范围较广，而普通话“也要吃”（yě yào chī）使用“吃”，语气更中性。
Wav0201|Cantonese Dialect|"嗯!我就係最憎飲麵豉湯㗎!"|"嗯！我就是最讨厌喝味噌汤！"|区别：粤语“就係最憎”（zau6 hai6 zeoi3 zang1）高度强调且口语化，而普通话“就是最讨厌”（jiùshì zuì tǎoyàn）不那么强烈且更标准。
Wav0202|Cantonese Dialect|"而且喺學校食營養午餐嗰陣,已經會食好多泡菜㗎啦!"|"而且在学校吃营养午餐的时候，已经会吃很多泡菜了！"|区别：粤语“嗰陣”（go2 zan6）是“当时”的口语说法，而普通话“的时候”（de shíhòu）更正式。粤语“㗎啦”（gaa3 laa1）增添强调，普通话“了”（le）无此作用。
Wav0203|Cantonese Dialect|"好啦好啦!媽媽今晚再煎火腿畀你哋食啦!"|"好啦好啦！妈妈今晚再煎火腿给你们吃啦！"|区别：粤语“好啦好啦”（hou2 laa1 hou2 laa1）使用重复表达亲切、让步语气，而普通话“好啦好啦”类似但情感强调较弱。粤语“畀你哋”（bei2 nei5 dei6）是“给你们”的口语表达，普通话“给你们”（gěi nǐmen）更标准。
Wav0204|Cantonese Dialect|"早餐就將就下,快啲食完去返學啦!"|"早餐就凑合一下，赶紧吃完去上学啦！"|区别：粤语“將就下”（zoeng1 zau6 haa5）是“凑合”的随意表达，而普通话“凑合一下”（còuhé yīxià）更正式。粤语“快啲”（faai3 di1）比普通话“赶紧”（gǎnjǐn）更紧急。
Wav0205|Cantonese Dialect|"志援默默咁喺碗麵豉湯度揀咗幾塊豆腐嚟送飯"|"志援悄悄地在碗味噌汤里挑了几块豆腐来配饭"|区别：粤语“默默咁”（mak6 mak6 gam2）生动强调安静，而普通话“悄悄地”（qiāoqiāo de）更中性。粤语“喺…度”（hai2…dou6）是“在…里”的口语表达，普通话“在…里”（zài…lǐ）更标准。
Wav0206|Cantonese Dialect|"食完之後,就悶悶不樂咁出門口返學"|"吃完之后，就闷闷不乐地出门上学"|区别：粤语“悶悶不樂咁”（mun6 mun6 bat1 lok6 gam2）是生动、口语化的表达，而普通话“闷闷不乐地”（mèn mèn bù lè de）更正式且书面化。粤语“返學”（faan1 hok6）随意，普通话“上学”（shàngxué）标准。
Wav0207|Cantonese Dialect|"到咗午餐時間,志援嚟到飯堂之後,即刻去睇吓今日嘅餐牌"|"到了午餐时间，志援来到食堂之后，立即去看今天的菜单"|区别：粤语“到咗”（dou3 zo2）和“嚟到”（lai4 dou3）是“到达”的口语表达，而普通话“到了”（dàole）和“来到”（láidào）更正式。粤语“即刻”（zik1 hak1）比普通话“立即”（lìjí）更紧急。
Wav0208|Cantonese Dialect|"今日有咩食呢?"|"今天有什么吃的呢？"|区别：粤语“有咩食”（jau5 me1 sik6）是随意的疑问结构，而普通话“有什么吃的”（yǒu shénme chī de）更结构化且正式。粤语“呢”（ne1）比普通话“呢”（ne）更柔和。
Wav0209|Cantonese Dialect|"咸色辣蘿蔔,仲有益力多!"|"咸辣萝卜，还有养乐多！"|区别：粤语“咸色辣蘿蔔”（haam4 sik1 laat6 lo4 baak6）描述性且口语化，而普通话“咸辣萝卜”（xián là luóbo）更简单。粤语“益力多”（jik6 lik6 dung1）是Yakult的音译，普通话“养乐多”（yǎnglèduō）是标准化表达。
Wav0210|Cantonese Dialect|"今日嘅午餐好豐富,全部都係志援鍾意食嘅嘢"|"今天的午餐很丰富，全部都是志援喜欢吃的东西"|区别：粤语“好豐富”（hou2 fung1 fu3）和“鍾意食嘅嘢”（zung1 ji3 sik6 ge3 je5）口语化且亲切，而普通话“很丰富”（hěn fēngfù）和“喜欢吃的东西”（xǐhuān chī de dōngxī）更正式且中性。
Wav0211|Cantonese Dialect|"志援好開心,攞住餐盤,請飯餐姨姨每樣餸都不畀佢,然後返埋位食得津津有味"|"志援很开心，拿着餐盘，请食堂阿姨每样菜都给点，然后回到座位吃得津津有味"|区别：粤语“攞住”（lo2 zyu6）和“返埋位”（faan1 maai4 wai2）生动且口语化，而普通话“拿着”（ná zhe）和“回到座位”（huí dào zuòwèi）更标准。粤语“不畀佢”（bat1 bei2 keoi5）独特，意为“不给他”，普通话措辞更清晰。
Wav0212|Cantonese Dialect|"放學後,志援搭住輕快嘅步伐返屋企,可能係因為中午食到鍾意嘅嘢"|"放学后，志援迈着轻快的步伐回家，可能是因为中午吃到了喜欢的东西"|区别：粤语“搭住輕快嘅步伐”（daap3 zyu6 heng1 faai3 ge3 bou6 faat3）诗意且口语化，而普通话“迈着轻快的步伐”（mài zhe qīngkuài de bùfá）更正式。粤语“食到”（sik6 dou3）动态，普通话“吃到了”（chī dào le）较静态。
Wav0213|Cantonese Dialect|"而且食得好飽,好滿足,所以心情特別好,沿途同朋友邊講邊笑得好開心"|"而且吃得很饱，很满足，所以心情特别好，沿途和朋友边说边笑得很开心"|区别：粤语“好飽”（hou2 baau2）和“好滿足”（hou2 mun5 zuk1）情感生动，而普通话“很饱”（hěn bǎo）和“很满足”（hěn mǎnzú）更中性。粤语“邊講邊笑”（bin1 gong2 bin1 siu3）有节奏感，普通话“边说边笑”（biān shuō biān xiào）较平淡。
Wav0214|Cantonese Dialect|"我返嚟啦!媽媽,志冠呢?"|"我回来了！妈妈，志冠呢？"|区别：粤语“返嚟啦”（faan1 lai4 laa1）热情且强调，而普通话“回来了”（huíláile）更中性。粤语“呢”（ne1）柔化疑问，普通话“呢”（ne）作用类似。
Wav0215|Cantonese Dialect|"佢去咗跆拳道館啦,我煮咗薯仔,你食完再去上堂啦"|"他去了跆拳道馆啦，我煮了土豆，你吃完再去上课啦"|区别：粤语“去咗”（heoi3 zo2）和“煮咗”（zyu2 zo2）使用“咗”标记过去动作，而普通话“去了”（qùle）和“煮了”（zhǔle）使用“了”，听起来更正式。粤语“上堂”（soeng5 tong4）是“上课”的口语表达，普通话“上课”（shàngkè）更标准。
Wav0216|Cantonese Dialect|"唔使啦,我唔肚餓呀,午餐食得太飽啦,咁我而家去上跆拳道啦"|"不用啦，我不饿啊，午餐吃得太饱啦，所以我现在去上跆拳道啦"|区别：粤语“唔使”（m4 sai2）和“唔肚餓”（m4 tou5 ngo6）口语化，而普通话“不用”（bùyòng）和“不饿”（bù è）更正式。粤语“食得太飽”（sik6 dak1 taai3 baau2）生动，普通话“吃得太饱”（chī de tài bǎo）更中性。
Wav0217|Cantonese Dialect|"志援講完之後,就奔奔跳跳咁出門"|"志援讲完之后，就蹦蹦跳跳地出门"|区别：粤语“奔奔跳跳咁”（ban1 ban1 tiu3 tiu3 gam2）是生动、口语化的重复表达，形容精力充沛的动作，而普通话“蹦蹦跳跳地”（bèng bèng tiào tiào de）更正式且情感表达较弱。
Wav0218|Cantonese Dialect|"上完跆拳道課之後,志援同志冠一齊返屋企,喺半路咁啱遇到媽媽"|"上完跆拳道课之后，志援和志冠一起回家，在半路正巧遇到妈妈"|区别：粤语“咁啱”（gam2 ngaam1）是“偶然”的口语说法，而普通话“正巧”（zhèngqiǎo）更正式。粤语“返屋企”（faan1 uk1 kei5）随意，普通话“回家”（huí jiā）标准。
Wav0219|Cantonese Dialect|"媽媽,你要去邊呀?"|"妈妈，你要去哪儿啊？"|区别：粤语“去邊”（heoi3 bin1）是“哪里”的口语表达，而普通话“去哪儿”（qù nǎr）更标准。粤语“呀”（aa3）增添亲切语气，普通话“啊”（a）作用较弱。
Wav0220|Cantonese Dialect|"我想去超市買餸呀"|"我想去超市买菜啊"|区别：粤语“買餸”（maai5 sung3）是买菜的具体说法，而普通话“买菜”（mǎi cài）更通用。粤语“呀”（aa3）柔化陈述，普通话“啊”（a）作用类似。
Wav0221|Cantonese Dialect|"媽媽,我哋都想去呀"|"妈妈，我们也想去啊"|区别：粤语“我哋”（ngo5 dei6）是复数代词的口语表达，而普通话“我们”（wǒmen）更标准。粤语“都想去呀”（dou1 soeng2 heoi3 aa3）更亲切，普通话“也想去啊”（yě xiǎng qù a）更中性。
Wav0222|Cantonese Dialect|"好呀,志援同志冠就跟媽媽一齊去超市"|"好啊，志援和志冠就 就跟妈妈一起去超市"|区别：粤语“一齊”（jat1 cai4）是“一起”的口语说法，而普通话“一起”（yīqǐ）更正式。粤语“好呀”（hou2 aa3）情感表达强烈，普通话“好啊”（hǎo a）较中性。
Wav0223|Cantonese Dialect|"到咗超市嘅蔬菜區,媽媽望嚟望去都未諗到今晚晚餐要買咩餸,真係好煩惱呀"|"到了超市的蔬菜区，妈妈看了半天也没想到今晚晚餐买什么菜，真是很烦恼啊"|区别：粤语“望嚟望去”（mong6 lai4 mong6 heoi3）生动且口语化，而普通话“看了半天”（kàn le bàntiān）更中性。粤语“真係”（zan1 hai6）比普通话“真是”（zhēnshì）更强调。
Wav0224|Cantonese Dialect|"志援志冠呀,你哋今晚想食咩呀?不如我煮咖哩飯啦,好飽呀"|"志援志冠啊，你们今晚想吃什么啊？不如我煮咖喱饭吧，够饱啊"|区别：粤语“食咩呀”（sik6 me1 aa3）是随意的疑问结构，而普通话“吃什么啊”（chī shénme a）更正式。粤语“好飽呀”（hou2 baau2 aa3）生动，普通话“够饱啊”（gòu bǎo a）较平淡。
Wav0225|Cantonese Dialect|"我晏晝喺學校食咗啦,不如食意大利粉啦"|"我下午在学校吃过了啦，不如吃意大利面吧"|区别：粤语“晏晝”（ngaan3 zau3）是“下午”的口语说法，而普通话“下午”（xiàwǔ）更标准。粤语“意大利粉”（ji3 daai6 lei6 fan2）是音译，普通话“意大利面”（yìdàlì miàn）更常见。
Wav0226|Cantonese Dialect|"嗯,晚餐都係要食飯先得嘅,一係明日午餐我再煮意粉畀你哋食啦"|"嗯，晚餐还是得吃米饭才行，要不明天午餐我再煮意大利面给你们吃啦"|区别：粤语“都係…先得嘅”（dou1 hai6…sin1 dak1 ge3）是强烈的条件结构，而普通话“还是…才行”（háishì…cái xíng）较不强调。粤语“一係”（jat1 hai6）口语化，普通话“要不”（yàobù）更正式。
Wav0227|Cantonese Dialect|"媽媽諗咗一陣,最後決定整蔬菜拌飯,佢仲買咗意粉醬同聽聞烤肉要食嘅五花腩"|"妈妈想了一会儿，最后决定做蔬菜杂饭，她还买了意大利面酱和听说烤肉要吃的五花肉"|区别：粤语“整”（zing2）是“制作”的口语说法，而普通话“做”（zuò）更正式。粤语“仲”（zung6）和“聽聞”（ting1 man4）生动，普通话“还”（hái）和“听说”（tīngshuō）更中性。
Wav0228|Cantonese Dialect|"媽媽,可唔可以買餅食呀?"|"妈妈，可不可以买饼干吃啊？"|区别：粤语“可唔可以”（ho2 m4 ho2 ji5）是口语化的疑问形式，而普通话“可不可以”（kě bù kěyǐ）更正式。粤语“餅”（beng2）泛指饼干，普通话“饼干”（bǐnggān）更具体。
Wav0229|Cantonese Dialect|"好呀,你哋自己去揀啦,我去買廁紙,等陣喺收銀處等你哋呀"|"好啊，你们自己去挑吧，我去买卫生纸，待会儿在收银处等你们啊"|区别：粤语“去揀”（heoi3 gaan2）是“挑选”的口语说法，而普通话“去挑”（qù tiāo）更正式。粤语“等陣”（dang2 zan6）生动表示“稍后”，普通话“待会儿”（dàihuìr）更标准。
Wav0230|Cantonese Dialect|"志援志冠得到媽媽批准,就好開心咁即刻跑去零食區揀餅乾"|"志援和志冠得到妈妈批准，就很开心地立刻跑去零食区挑饼干"|区别：粤语“好開心咁”（hou2 hoi1 sam1 gam2）是幸福感的生动口语表达，而普通话“很开心地”（hěn kāixīn de）更中性且正式。粤语“即刻”（zik1 hak1）比普通话“立刻”（lìjí）更紧急。
Wav0231|Cantonese Dialect|"志援好快就揀到最鍾意嘅洋蔥圈,不過志冠諗嚟諗去都決定唔到"|"志援很快挑到最喜欢的洋葱圈，不过志冠想了半天也没决定"|区别：粤语“好快”（hou2 faai3）和“最鍾意”（zeoi3 zung1 ji3）口语化且强调，而普通话“很快”（hěn kuài）和“最喜欢”（zuì xǐhuān）更标准。粤语“諗嚟諗去”（nam2 lai4 nam2 heoi3）生动，普通话“想了半天”（xiǎng le bàntiān）较平淡。
Wav0232|Cantonese Dialect|"佢呢盒揀下,嗰盒又睇下,樣樣都想要,喺貨架度攞咗一大堆唔同款嘅餅乾落嚟"|"他这盒看看，那盒也看看，什么都想要，在货架上拿了一大堆不同款的饼干下来"|区别：粤语“呢盒…嗰盒”（ni1 hap6…go2 hap6）口语化使用指示代词，而普通话“这盒…那盒”（zhè hé…nà hé）更正式。粤语“喺貨架度”（hai2 fo3 gaa3 dou6）随意，普通话“在货架上”（zài huòjià shàng）更标准。
Wav0233|Cantonese Dialect|"但諗諗下又多心,仲未決定到要買邊樣,志援都等到有啲唔耐煩啦"|"但想着想着又犹豫，还没决定买哪个，志援都等到有些不耐烦了"|区别：粤语“諗諗下”（nam2 nam2 haa5）是口语化的重复表达，而普通话“想着想着”（xiǎng zhe xiǎng zhe）更正式。粤语“有啲唔耐煩”（jau5 di1 m4 noi6 faan4）生动，普通话“有些不耐烦”（yǒuxiē bù nàifán）较平淡。
Wav0234|Cantonese Dialect|"志冠呀,你快啲揀啦,媽媽喺度等我哋㗎"|"志冠啊，你快点挑啦，妈妈在那儿等我们呢"|区别：粤语“快啲”（faai3 di1）比普通话“快点”（kuài diǎn）更紧急。粤语“喺度”（hai2 dou6）和“㗎”（gaa3）增添随意、强调语气，普通话“在那儿”（zài nàr）和无助词更中性。
Wav0235|Cantonese Dialect|"等多陣啦,我未揀到嘛家姐,買邊款好呢?"|"再等一会儿啦，我还没挑到呢，大姐，买哪款好呢？"|区别：粤语“等多陣”（dang2 do1 zan6）是“再等一会儿”的口语说法，而普通话“再等一会儿”（zài děng yīhuìr）更正式。粤语“嘛”（maa3）柔化语气，普通话“呢”（ne）作用类似。
Wav0236|Cantonese Dialect|"朱古力夾心餅睇起嚟好好味,紅魚餅似乎都唔錯喎,雞腿餅我都好想食呀"|"巧克力夹心饼看起来很好吃，红鱼饼似乎也不错哦，鸡腿饼我也很想吃啊"|区别：粤语“好好味”（hou2 hou2 mei6）和“都唔錯喎”（dou1 m4 co3 wo3）生动且口语化，而普通话“很好吃”（hěn hǎochī）和“也不错哦”（yě bùcuò o）更标准。粤语“喎”（wo3）增添俏皮语气，普通话无此表达。
Wav0237|Cantonese Dialect|"志冠好苦惱,一邊拗頭一邊拗屁股都未決定到"|"志冠很烦恼，一边挠头一边挠屁股还没决定"|区别：粤语“好苦惱”（hou2 fu2 nou5）和“一邊…一邊”（jat1 bin1…jat1 bin1）情感生动，而普通话“很烦恼”（hěn fánnǎo）和“一边…一边”（yībiān…yībiān）更中性且正式。
Wav0238|Cantonese Dialect|"最後志冠決定揀朱古力餅,但係要揀圓形嘅餅定係揀長條形嘅呢?"|"最后志冠决定挑巧克力饼，但是要挑圆形的饼还是长条形的呢？"|区别：粤语“但係”（daan6 hai6）和“定係”（ding6 hai6）是“但是”和“还是”的口语说法，而普通话“但是”（dànshì）和“还是”（háishì）更正式。粤语“呢”（ne1）柔化疑问，普通话“呢”（ne）作用类似。
Wav0239|Cantonese Dialect|"志冠一直猶豫不決,媽媽喺收銀處等咗好耐都唔見人,於是就過嚟搵佢哋"|"志冠一直犹豫不决，妈妈在收银处等了好久也没见人，于是就过来找他们"|区别：粤语“好耐”（hou2 noi6）和“唔見人”（m4 gin3 jian4）口语化，而普通话“好久”（hǎojiǔ）和“没见人”（méi jiàn rén）更标准。粤语“過嚟”（gwo3 lai4）生动，普通话“过来”（guòlái）较平淡。
Wav0240|Cantonese Dialect|"你哋仲未揀完呀?嘩!志冠呀,你整到成地都係,要執返好先得㗎"|"你们还没挑完啊？哇！志冠啊，你弄得满地都是，得先收拾好才行呢"|区别：粤语“仲未”（zung6 mei6）和“整到成地都係”（zing2 dou3 sing4 dei6 dou1 hai6）强调且口语化，而普通话“还没”（hái méi）和“弄得满地都是”（nòng de mǎn dì dōu shì）更正式。粤语“㗎”（gaa3）增添坚持语气，普通话“呢”（ne）较柔和。
Wav0241|Cantonese Dialect|"媽媽,都係志冠唔肯快啲揀呀"|"妈妈，都是志冠不肯快点挑啊"|区别：粤语“都係”（dou1 hai6）是强调责怪的口语表达，而普通话“都是”（dōu shì）更中性。粤语“快啲”（faai3 di1）比普通话“快点”（kuài diǎn）更紧急。
Wav0242|Cantonese Dialect|"媽媽,淨係可以揀一樣呀,唔可以買兩個咩?"|"妈妈，只能挑一样啊，不能买两个吗？"|区别：粤语“淨係”（zing6 hai6）和“唔可以…咩”（m4 ho2 ji5…me1）口语化且情感丰富，而普通话“只能”（zhǐ néng）和“不能…吗”（bù néng…ma）更正式且结构化。
Wav0243|Cantonese Dialect|"你再唔揀,我走㗎啦"|"你再不挑，我就走啦"|区别：粤语“再唔揀”（zoi3 m4 gaan2）和“㗎啦”（gaa3 laa1）增添强烈、口语化的紧急感，而普通话“再不挑”（zài bù tiāo）和“啦”（la）较不强调且更中性。
Wav0244|Cantonese Dialect|"喺媽媽嘅催促之下,志冠最後揀咗朱古力百力滋"|"在妈妈的催促之下，志冠最后挑了巧克力百力滋"|区别：粤语“喺…之下”（hai2…zi1 haa6）是生动的介词，而普通话“在…之下”（zài…zhī xià）更正式。粤语“揀咗”（gaan2 zo2）使用“咗”标记过去动作，普通话“挑了”（tiāo le）较平淡。
Wav0245|Cantonese Dialect|"其實志冠每款餅乾都想食,對佢嚟講,揀一款真係太難啦"|"其实志冠每款饼干都想吃，对他来说，挑一款真是太难啦"|区别：粤语“真係”（zan1 hai6）和“太難啦”（taai3 naan4 laa1）高度强调且口语化，而普通话“真是”（zhēnshì）和“太难啦”（tài nán la）更标准且不那么强烈。
Wav0246|Cantonese Dialect|"離開超市之後,志援志冠已經急不及待即刻打開佢哋嘅零食,邊行邊食,一副心滿意足咁嘅樣"|"离开超市之后，志援和志冠已经迫不及待立刻打开他们的零食，边走边吃，一副心满意足的样子"|区别：粤语“急不及待”（gap1 bat1 kap6 doi6）和“一副…咁嘅樣”（jat1 fu3…gam2 ge3 joeng2）生动且口语化，而普通话“迫不及待”（pò bù jí dài）和“一副…的样子”（yī fù…de yàngzi）更正式。
Wav0247|Cantonese Dialect|"我返嚟啦,晚餐食咩呀?"|"我回来了，晚餐吃什么啊？"|区别：粤语“返嚟啦”（faan1 lai4 laa1）热情且强调，而普通话“回来了”（huíláile）更中性。粤语“食咩呀”（sik6 me1 aa3）随意，普通话“吃什么啊”（chī shénme a）更正式。
Wav0248|Cantonese Dialect|"爸爸一返到屋企,第一件事就問今晚食咩餸"|"爸爸一回到家，第一件事就问今晚吃什么菜"|区别：粤语“一返到”（jat1 faan1 dou3）和“食咩餸”（sik6 me1 sung3）口语化且动态，而普通话“一回到”（yī huídào）和“吃什么菜”（chī shénme cài）更标准且正式。
Wav0249|Cantonese Dialect|"爸爸,我幫你拎個袋入去呀"|"爸爸，我帮你拿个袋进去啊"|区别：粤语“拎”（ling1）是“拿”的口语说法，而普通话“拿”（ná）更通用。粤语“入去呀”（jap6 heoi3 aa3）生动，普通话“进去啊”（jìnqù a）较平淡。
Wav0250|Cantonese Dialect|"好呀,唔該志冠"|"好啊，谢谢志冠"|区别：粤语“唔該”（m4 goi1）是“谢谢”的礼貌口语表达，而普通话“谢谢”（xièxie）更正式且广泛使用。粤语“呀”（aa3）增添亲切感，普通话“啊”（a）作用较弱。
Wav0251|Cantonese Dialect|"你返嚟啦,就嚟煮好飯㗎啦,你去洗手先啦,今晚食蔬菜拌飯,泡菜同煎火腿呀"|"你回来了，快要煮好饭啦，你先去洗手啦，今晚吃蔬菜杂饭，泡菜和煎火腿啊"|区别：粤语“就嚟”（zau6 lai4）和“㗎啦”（gaa3 laa1）口语化且紧急，而普通话“快要”（kuàiyào）和“啦”（la）更中性。粤语“先啦”（sin1 laa1）强调优先，普通话“先啦”（xiān la）作用类似。
Wav0252|Cantonese Dialect|"開飯啦,志冠幫手分配火腿腸嘅份量"|"开饭啦，志冠帮忙分配火腿肠的份量"|区别：粤语“開飯”（hoi1 faan6）是“开始吃饭”的生动说法，而普通话“开饭”（kāi fàn）更正式。粤语“幫手”（bong1 sau2）口语化，普通话“帮忙”（bāngmáng）更标准。
Wav0253|Cantonese Dialect|"家姐四條,我都係四條,媽媽就兩條"|"大姐四条，我也四条，妈妈就两条"|区别：粤语“家姐”（gaa1 ze2）和“都係”（dou1 hai6）口语化且亲切，而普通话“大姐”（dàjiě）和“也”（yě）更正式。粤语“就”（zau6）柔化语气，普通话“就”（jiù）作用类似。
